IMP1,VTP1,IMP2,VTP2,IMP3,BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,RCCB,PLCB,PRCB,PLFB,PRFB,PKAC,RPAC,PACC,PMPC,PPRC,RCHD,RPHD,PUND,PSPD,PGHE,PPOE,PBRE,PEYE,TRAF,PPBF,PSTG,PBSH,PLSH,PRSH,RATH,PCTH,PLTH,PRTH,RIWH,PAGI,PRSI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,RCRK,PTRK,PBTK,PTAL,PIBL,PLEL,PREL,PLKL,PSPL,PLSL,RCCM,PHLM,PHAN,PTEN,PLKN,PRKN,PLSO,RPGP,PTHP,PJMP,PTYP,PCAR,PSAR,PTAR,RICR,PJER,PLKR,RCPR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PRAS,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,STAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,RCOV,PESV,PBFW,PLHW,PLTW
2,0,8,0,0,8,10,5,2,10,7,3,3,46,Jahquan,Hagan,1,8,7,79,0,0,0,1,0,0,0,0,36,0,83,0,59,7496,1,0,75,170,72,0,0,53,25,0,65,3,3,0,64,1,1,0,75,18,78,1,67,36,36,0,0,17,2492,25,36,0,30,0,0,0,0,6,0,5,0,2,1,1,1,14,36,78,0,45,44,0,0,0,0,101,40,0,6,47,71,52,49,0,0,0,25,25,4,3,58,3,18,68,69,0,29,6,49,30,0,74,0,39,63,0,52,0,1,0,63,46,48,49,25,50,25,52,27,23,0,0
8,0,4,0,5,6,10,7,0,10,6,3,3,46,Derrick,Jennette III,1,10,10,77,0,0,0,3,0,0,0,0,38,0,83,0,24,2053,0,0,86,128,79,0,0,54,45,0,38,3,3,0,51,2,2,0,91,19,78,1,49,44,46,0,0,17,872,65,56,0,45,0,0,0,0,0,0,5,0,2,2,2,2,1,48,72,0,54,76,0,0,0,0,66,38,0,0,56,51,60,62,11,11,0,44,46,4,3,68,1,1,33,57,0,8,6,53,29,0,71,0,42,47,5,56,10,10,0,67,25,27,30,74,27,73,55,70,47,0,1
1,0,9,0,1,5,10,7,0,10,6,0,0,69,Darrell,Hansley,1,10,10,84,0,0,0,3,0,0,0,0,40,0,73,0,36,10882,1,0,75,152,78,0,0,44,38,0,30,3,3,0,46,2,2,0,65,20,83,0,40,40,40,0,1,0,706,56,69,0,25,0,0,0,0,0,0,5,1,2,2,2,0,0,71,67,0,55,49,0,0,0,0,42,40,0,0,49,50,61,72,11,11,0,38,38,6,3,39,1,0,20,37,4,42,6,40,29,0,73,0,39,32,5,40,10,10,0,70,25,25,25,73,25,68,59,68,38,0,1
11,0,13,0,8,10,10,0,0,3,9,3,3,39,Jaylen,Richmond,1,10,7,66,0,0,0,3,0,0,0,0,39,0,53,0,71,8966,0,0,54,216,46,0,0,25,25,0,70,4,4,0,42,2,2,0,54,21,77,0,70,64,64,0,0,34,574,31,39,0,64,0,0,0,0,0,0,5,0,2,2,2,1,9,39,48,0,39,17,0,0,0,0,48,39,0,0,28,75,62,63,0,0,0,25,25,4,0,25,5,12,69,54,24,35,15,42,20,20,73,15,138,69,0,41,21,14,0,25,52,51,66,25,70,25,66,29,24,0,0
10,0,11,0,8,10,5,10,0,10,9,3,3,43,Ja'don,Centers,2,10,10,65,0,0,0,1,0,0,0,0,43,0,77,0,35,3906,1,0,49,178,44,0,0,40,70,0,40,3,3,0,43,2,2,0,59,22,80,0,70,70,63,0,0,34,2546,43,43,0,71,0,0,1,0,0,0,5,0,2,2,2,1,7,43,61,0,43,17,0,0,0,1,76,43,0,0,36,72,54,63,10,10,0,71,62,6,3,32,5,7,35,25,21,15,21,25,15,20,72,17,148,35,0,44,20,16,0,25,34,33,33,25,32,25,52,25,60,0,0
7,0,5,0,4,10,10,0,0,3,9,3,3,37,Will,Silcox,3,10,7,64,0,0,0,3,0,0,0,0,37,0,88,0,34,11026,0,0,63,15,51,0,0,36,69,0,36,4,4,0,43,2,2,0,66,23,73,0,54,68,74,0,0,34,871,37,37,0,67,0,0,1,0,0,0,5,0,0,2,2,1,5,37,49,0,45,40,0,0,0,1,49,37,0,0,36,74,63,72,12,12,0,69,73,2,0,26,5,9,33,29,24,43,15,25,20,20,76,15,178,49,0,37,21,14,0,45,27,28,27,47,27,50,62,32,77,0,1
4,0,7,0,0,10,10,0,0,3,9,13,13,39,Aaron,Anthony,2,10,7,71,0,0,0,3,0,0,0,0,39,0,81,0,35,553,1,0,63,171,40,0,0,35,73,0,40,4,4,0,39,2,2,0,61,24,74,0,39,74,73,0,0,34,1474,37,39,0,75,0,0,1,0,0,0,5,0,1,2,2,1,6,39,40,0,39,35,0,0,0,1,87,39,0,0,38,77,65,74,11,11,0,74,74,3,0,27,5,6,37,33,24,2,15,25,20,20,76,15,135,55,0,39,21,14,0,49,33,30,27,47,28,52,63,33,74,0,1
2,0,5,0,8,10,10,0,0,3,9,13,13,42,Jake,Kilbane,2,10,7,65,0,0,0,3,0,0,0,0,42,0,86,0,45,1237,0,0,67,54,53,0,0,40,74,0,59,4,4,0,42,2,2,0,67,25,84,0,42,74,74,0,0,34,1167,38,42,0,70,0,0,1,0,1,0,5,0,1,2,2,1,7,42,45,0,42,28,0,0,0,1,31,42,0,1,41,75,68,81,11,11,0,74,74,5,0,32,5,7,54,31,24,4,15,25,20,20,73,15,114,38,0,45,21,14,0,28,39,32,42,25,45,25,65,33,73,0,0
10,0,1,0,0,10,10,0,0,3,9,15,15,40,Bobby,Banbury,1,10,7,75,0,0,0,3,0,0,0,0,40,0,76,0,78,11613,0,0,59,20,41,0,0,40,25,0,72,4,4,0,40,2,2,0,56,26,82,0,66,66,67,0,0,34,1311,25,40,0,66,0,0,0,0,0,0,5,0,1,2,2,2,8,40,55,0,40,37,0,0,0,0,136,40,0,0,36,68,61,55,10,10,0,25,25,3,0,42,3,10,70,42,24,45,15,45,20,20,77,15,95,64,0,59,21,14,0,25,56,54,68,26,76,25,63,25,20,0,0
9,0,7,0,8,0,5,7,0,4,1,3,3,43,Andrew,Banks,2,7,4,74,0,0,0,1,0,0,0,0,43,0,79,0,33,8764,1,0,74,171,40,0,0,63,67,1,26,4,4,0,45,2,2,0,74,27,65,1,67,67,64,0,0,20,2627,63,58,0,57,0,0,0,0,0,0,5,0,2,1,1,1,2,43,65,0,73,61,0,0,0,0,56,43,0,0,46,63,55,67,11,11,0,68,63,3,0,53,2,2,38,31,15,34,23,45,7,5,74,12,92,63,0,60,15,13,0,55,25,25,37,63,39,43,57,62,61,0,1
12,0,13,0,9,8,10,5,0,10,7,3,3,41,Darryl,Williams,0,8,7,82,0,0,0,2,0,0,0,0,41,0,86,0,63,2111,0,0,88,244,40,0,1,59,40,0,45,3,3,0,66,1,1,0,84,28,84,1,54,41,41,0,0,5,1949,39,41,0,27,0,0,0,0,0,0,6,0,1,1,1,2,12,41,80,0,49,21,0,0,0,0,175,41,0,0,57,44,61,70,10,10,0,40,40,2,0,54,3,16,69,71,0,8,6,55,30,0,73,0,6,58,7,54,0,1,0,68,65,69,53,28,52,28,59,33,39,0,0
8,0,4,0,5,10,10,4,0,10,6,3,3,43,Jake,Walley,2,6,10,74,0,0,0,1,0,0,0,0,38,0,76,0,35,2566,0,0,72,27,40,0,0,75,58,1,28,3,3,0,72,2,2,0,70,29,74,1,58,58,58,0,0,33,2260,59,59,0,49,0,0,0,0,0,0,5,0,2,2,2,1,4,47,65,0,61,65,0,0,0,0,92,38,0,0,76,67,59,70,11,11,0,58,58,5,0,73,3,4,23,47,5,10,10,76,29,26,76,10,97,55,0,60,10,10,0,60,25,25,25,50,25,59,52,55,60,0,1
4,0,8,0,9,4,2,8,0,0,3,3,3,37,Jared,Hill,2,3,2,64,0,0,0,4,0,0,0,0,37,0,96,0,36,2386,0,0,72,179,40,0,0,33,73,0,35,4,4,0,44,2,2,0,72,30,81,0,62,73,80,0,0,34,131,35,37,0,69,0,0,1,0,0,0,5,0,0,2,2,1,6,37,53,0,37,36,0,0,0,1,4,37,0,0,33,80,73,78,16,16,0,74,80,2,0,25,5,6,34,28,21,9,21,25,8,20,76,16,109,55,0,37,10,16,0,55,28,29,27,46,27,25,73,35,83,0,0
7,0,4,0,2,5,10,7,0,10,6,0,0,73,Jeremiah,Gipson,0,10,10,85,0,0,0,3,0,0,0,0,42,0,77,0,37,2395,0,0,76,211,43,0,1,43,40,0,43,3,3,0,55,1,1,0,66,31,84,0,42,42,42,0,1,0,1172,51,61,0,27,0,0,0,0,1,0,5,0,1,1,1,2,0,82,71,0,63,40,0,0,0,0,71,42,0,1,42,56,70,71,0,0,0,41,40,0,0,36,1,0,25,37,4,9,6,37,29,0,76,0,69,34,5,58,10,10,0,59,26,25,25,56,25,46,65,62,39,0,0
6,0,8,0,11,10,2,6,2,4,7,3,3,39,Andrew,Franklin,0,10,6,71,0,0,0,1,0,0,0,0,39,0,83,0,64,10986,1,0,68,196,65,0,0,54,45,0,61,3,3,0,59,1,1,0,62,32,84,0,68,46,52,0,0,5,2577,40,39,0,36,0,0,0,0,0,0,6,0,1,1,1,2,10,39,69,0,60,40,0,0,0,0,203,39,0,0,20,62,55,53,1,1,0,45,52,3,3,54,3,13,60,64,5,42,20,25,0,5,78,0,79,65,10,42,10,5,0,43,67,62,58,76,56,85,55,48,53,0,1
4,0,5,0,3,6,10,7,0,10,6,3,3,37,Johnny,Gutapfel,1,10,10,79,0,0,0,3,0,0,0,0,40,0,85,0,67,6191,0,0,88,153,40,0,0,53,40,0,29,4,4,0,60,1,1,0,84,33,81,1,51,39,40,0,0,17,876,25,37,0,25,0,0,0,0,7,0,5,0,1,1,1,1,12,37,72,0,41,27,0,0,0,0,64,37,0,7,62,38,64,62,10,10,0,40,39,2,3,50,2,16,81,76,0,24,6,50,29,0,71,0,30,67,8,50,10,10,0,44,72,75,48,36,50,37,63,34,43,0,0
10,0,1,0,12,4,2,8,0,0,3,3,3,43,Justin,Fitten,2,3,2,67,0,0,0,3,0,0,0,0,43,0,86,0,37,8757,0,0,59,118,40,0,0,39,81,0,25,4,4,0,45,2,2,0,62,34,91,0,52,81,79,0,0,34,1003,25,43,0,75,0,0,1,0,0,0,5,0,1,2,2,1,6,43,53,0,43,22,0,0,0,1,60,43,0,0,34,79,72,74,0,0,0,81,79,5,0,25,3,6,35,23,21,34,21,25,8,20,76,16,107,54,0,45,10,16,0,28,25,25,27,25,32,44,70,39,76,0,0
8,0,9,0,0,10,5,10,0,10,9,13,13,42,Simeon,Walker,2,10,10,70,0,0,0,2,0,0,0,0,42,0,89,0,41,8785,0,0,66,227,40,0,0,37,81,0,48,4,4,0,42,2,2,0,76,35,82,0,42,81,71,0,0,34,1843,40,42,0,71,0,0,1,0,0,0,5,0,2,2,2,2,6,42,51,0,42,37,0,0,0,1,115,42,0,0,36,85,69,75,3,3,0,80,71,6,0,25,3,6,48,29,21,34,21,25,15,20,76,17,150,58,0,42,20,16,0,51,30,36,44,58,44,60,62,42,69,0,0
4,0,0,0,3,10,10,0,0,3,9,3,3,40,Daikel,Jackson,1,10,7,75,0,0,0,2,0,0,0,0,40,0,82,0,69,5382,0,0,69,223,43,0,0,49,25,0,77,4,4,0,48,2,2,0,51,36,80,0,77,67,66,0,0,34,1729,35,40,0,68,0,0,0,0,10,0,5,0,1,1,1,2,8,40,69,0,47,22,0,0,0,0,175,40,0,10,45,64,66,50,11,11,0,25,31,0,0,32,3,10,72,39,24,21,15,34,20,20,76,15,80,69,0,41,21,14,0,32,56,56,74,36,75,25,59,25,31,0,0
5,0,0,0,9,0,5,7,0,4,1,3,3,43,Marckell,Shell,4,7,4,83,0,0,0,4,0,0,0,0,43,0,91,0,68,2119,0,0,86,211,49,0,1,63,62,0,75,3,3,0,63,1,1,0,67,37,89,1,72,62,65,0,0,17,201,37,43,0,63,0,0,0,1,0,0,5,0,0,1,1,2,11,43,70,0,52,35,0,0,0,0,16,43,1,0,56,77,70,59,11,11,0,62,65,5,3,57,1,14,75,63,15,8,23,69,7,5,74,12,67,63,0,57,15,13,0,33,73,68,72,27,72,25,74,32,62,0,0
13,0,9,0,11,6,10,7,0,10,6,3,3,37,Zeke,Palmer,0,10,10,75,0,0,0,2,0,0,0,0,42,0,88,0,64,1120,1,0,83,132,40,0,0,57,42,0,36,3,3,0,56,1,1,0,78,38,80,1,52,42,41,0,0,15,2035,25,37,0,30,0,0,0,0,6,0,5,0,2,1,1,2,12,37,77,0,44,22,0,0,0,0,184,37,0,6,58,57,57,56,10,10,0,41,42,3,0,54,3,16,66,72,0,4,6,47,29,0,75,0,29,68,8,49,10,10,0,51,71,66,50,48,48,48,54,25,45,0,1
4,0,8,0,4,8,10,5,0,10,7,3,3,39,David,Bigelow,4,8,7,76,0,0,0,3,0,0,0,0,39,0,77,0,21,8715,0,0,90,233,40,0,0,57,42,0,39,3,3,0,54,2,2,0,72,39,86,1,42,43,47,0,0,15,573,69,71,0,44,0,0,0,0,0,0,6,0,0,1,1,1,1,39,72,0,62,71,0,0,0,0,47,39,0,0,62,59,66,60,11,11,0,42,46,6,0,67,1,1,40,48,0,34,6,58,30,0,75,0,24,50,0,60,0,1,0,63,34,25,34,64,33,66,65,68,48,0,0
0,0,13,0,1,10,10,4,0,10,6,0,0,46,Brandin,Jones Jr.,0,6,10,73,0,0,0,2,0,0,0,0,69,0,41,0,36,1233,1,0,42,187,55,0,0,25,25,1,25,3,3,0,37,1,1,0,67,40,78,0,37,37,37,0,0,0,2034,25,41,0,25,0,0,0,0,0,0,5,0,2,1,1,1,16,54,37,0,37,24,0,0,0,0,24,63,0,0,17,38,65,57,0,0,0,25,25,0,0,25,3,20,28,14,5,4,10,25,29,26,71,10,74,36,0,37,10,10,0,26,25,25,25,42,25,40,62,40,14,0,0
11,0,5,0,4,10,5,10,0,10,9,13,13,42,Linwood,Jones,2,10,10,46,0,0,0,2,0,0,0,0,42,0,88,0,36,4889,0,0,56,175,40,0,0,37,76,0,41,4,4,0,42,2,2,0,67,41,84,0,42,76,77,0,0,34,1728,29,42,0,76,0,0,1,0,0,0,5,0,1,2,2,1,7,42,42,0,42,34,0,0,0,1,50,42,0,0,37,78,71,78,16,16,0,77,76,1,0,25,5,7,34,22,21,19,21,25,15,20,77,17,148,39,0,42,20,16,0,25,25,29,27,25,30,25,64,38,75,0,0
4,0,2,0,4,6,10,7,2,10,6,3,3,38,William,Williams,1,10,10,69,0,0,0,2,0,0,0,0,38,0,80,0,44,10864,1,0,79,237,63,0,0,60,46,0,41,3,3,0,58,1,1,0,77,42,84,1,43,46,47,0,0,5,1842,50,70,0,36,0,0,0,0,0,0,6,0,1,1,1,1,1,38,71,0,64,60,0,0,0,0,136,38,0,0,67,61,64,55,14,14,0,46,47,1,3,71,1,1,42,44,0,42,6,66,29,0,72,0,38,39,5,59,10,10,0,68,35,34,37,87,33,81,63,80,49,0,1
3,0,0,0,4,10,10,0,0,3,9,3,3,37,Daniel,Caleb,1,10,7,63,0,0,0,3,0,0,0,0,37,0,85,0,55,10063,0,0,68,209,41,0,0,46,25,0,67,3,3,0,37,2,2,0,68,43,75,1,66,63,62,0,0,34,1002,25,37,0,60,0,0,0,0,0,0,5,0,0,2,2,1,8,37,63,0,37,15,0,0,0,0,98,37,0,0,43,72,62,58,15,15,0,25,25,2,0,47,1,11,67,41,24,39,15,33,20,20,72,15,65,71,0,40,21,14,0,31,51,54,72,25,59,25,62,25,22,0,0
8,0,0,0,1,6,10,7,0,10,6,3,3,40,Devin,Green,3,10,10,76,0,0,0,1,0,0,0,0,40,0,89,0,55,1129,0,0,77,233,40,0,0,53,25,1,72,3,3,0,72,1,1,0,85,44,88,1,45,40,40,0,0,15,2445,29,40,0,48,0,0,0,0,0,0,1,0,1,1,1,2,13,40,79,0,48,20,0,0,0,0,98,40,0,0,52,76,49,60,3,3,0,25,25,2,0,55,2,17,70,78,0,4,6,52,29,0,72,0,37,85,5,57,10,10,0,45,51,36,54,49,53,38,52,38,23,0,1
