PRG1,SRK1,PRG2,SRK2,SRK3,BSAA,BSBA,BSCA,PYEA,BSFA,PRGA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,PLCB,PRCB,PLFB,PRFB,PKAC,PACC,PRGC,PMPC,PPRC,RCHD,PGID,TGID,POID,PUND,PHPD,PSPD,PRSD,PGHE,PUHE,PPOE,PBRE,PEYE,TRAF,PPBF,PBSH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PPRI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,PTRK,PBTK,PTAL,PIBL,PHCL,PLEL,PREL,PLFL,PLKL,PSPL,PLSL,PGGM,PHLM,PSTM,PHAN,PJEN,PTEN,PLHN,PRHN,PWIN,PLKN,PRKN,PLSO,PTHP,PIMP,PJMP,PTYP,PCAR,PSAR,PTAR,PLCR,PJER,PLKR,PMOR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PPBS,PRBS,PRGS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,BSBT,SPCT,BSCT,BSFT,PHGT,PRGT,BSGT,PWGT,PHIT,BSPT,PGRT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,PESV,PRAW,PBFW,PLHW,PLTW,PRGY,PLSY,PSTY,sgmp,
0,0,0,0,0,6,10,7,0,10,0,6,4,4,40,Stephen,Evans,0,10,10,84,0,0,0,0,0,0,0,40,79,0,0,36,10068,16445,234,16445,0,0,82,0,169,0,48,0,0,69,19,21,5,5,74,1,1,77,0,88,1,40,40,40,0,0,15,52,61,0,26,0,16,16,0,0,0,0,0,5,0,0,82,0,0,0,0,1,1,1,40,0,80,0,84,47,0,0,0,0,0,40,0,0,76,56,69,65,0,0,20,24,0,2,3,70,2,3,24,43,0,6,70,29,0,77,0,0,42,25,5,0,73,10,10,0,82,28,30,25,46,33,49,38,0,25,0,0,0,0,0,0,
0,0,0,0,0,10,5,10,0,10,0,9,4,4,40,Glen,Smith,0,10,10,76,0,0,0,0,0,0,0,40,83,0,0,65,11613,16441,234,16441,0,0,66,0,169,0,50,0,0,46,38,76,5,5,50,2,2,54,0,81,0,72,64,63,0,0,34,24,40,0,66,0,0,0,0,0,0,7,0,5,0,0,94,1,0,0,0,1,1,1,40,0,59,0,45,27,0,0,0,0,0,40,0,7,46,71,67,45,0,0,38,29,0,2,0,48,1,10,70,41,21,21,42,15,20,72,0,17,80,74,0,0,41,20,16,0,18,53,58,75,31,73,22,20,0,29,0,0,0,0,0,0,
0,1,0,0,0,10,10,4,0,10,0,6,10,10,40,Blair,Moore,0,6,10,74,0,0,0,0,0,0,0,40,78,0,0,21,2079,16105,230,16105,0,0,85,2,127,0,40,0,0,59,38,32,0,0,49,2,2,70,0,81,0,45,40,42,0,0,15,69,68,0,45,0,0,0,28,0,0,0,0,6,0,0,1,0,0,0,0,2,2,1,40,37,75,0,62,80,0,0,0,0,0,40,0,0,57,64,63,46,11,11,37,42,0,6,3,62,2,1,27,44,5,10,57,29,26,73,0,10,65,39,0,0,65,10,10,0,64,31,21,24,93,32,81,86,0,42,0,1,0,0,0,0,
0,1,0,0,0,6,10,7,3,10,0,6,3,3,40,Adrian,Webb,1,10,10,83,0,0,0,0,0,0,0,43,86,0,0,69,2070,14837,211,14837,0,0,90,0,170,0,40,0,0,55,42,32,4,4,60,1,1,86,7,85,1,60,42,43,0,0,17,25,40,0,21,0,0,0,28,0,0,7,0,5,0,0,1,1,0,0,0,1,1,1,40,73,83,0,44,28,0,0,0,0,0,40,0,7,63,43,71,64,10,10,43,43,0,3,3,54,2,16,83,77,0,6,52,29,0,70,0,0,23,68,8,0,52,10,10,0,46,74,84,51,39,53,40,37,0,42,0,0,0,0,0,0,
0,0,0,0,0,8,10,5,0,10,0,7,0,0,54,Jonathan,Engel,0,8,7,80,0,0,0,0,0,0,0,60,67,0,0,37,10511,16438,234,16438,0,0,67,0,51,0,40,0,0,20,19,38,5,5,46,1,1,64,0,71,0,40,40,40,0,0,0,41,52,0,15,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,1,1,50,0,40,0,40,40,0,0,0,0,0,74,0,0,16,40,66,46,0,0,19,15,0,5,0,18,1,20,35,21,0,6,23,30,0,76,0,0,34,35,0,0,40,0,1,0,74,28,35,30,69,30,56,52,0,15,0,1,0,0,0,0,
0,0,0,0,0,5,10,2,0,7,0,8,3,3,40,Adam,Britt,1,4,0,76,0,0,0,0,0,0,0,40,79,0,0,70,10883,792,11,792,0,0,77,0,73,0,58,0,0,59,37,69,3,3,48,2,2,60,0,84,1,75,40,40,0,0,15,18,40,0,26,0,0,0,0,0,0,0,0,6,0,0,56,2,0,0,0,2,2,1,40,0,63,0,42,38,0,0,0,0,0,40,0,0,50,75,63,42,11,11,38,39,0,4,3,65,1,13,58,58,5,26,18,10,11,75,0,9,71,70,8,0,51,4,10,0,36,53,58,68,32,64,25,20,0,38,0,1,0,0,0,0,
0,1,0,0,0,4,2,8,2,0,0,3,3,3,40,Travis,Anderson,0,3,2,70,0,0,0,0,0,0,0,40,87,0,0,65,6158,14833,211,14833,0,0,76,2,188,0,40,0,0,41,20,71,3,3,40,2,2,64,0,76,1,77,64,65,0,0,34,25,40,0,66,0,0,0,28,0,0,0,0,5,0,0,51,1,0,0,0,2,2,1,40,57,63,0,40,20,0,0,0,0,0,40,0,0,42,72,68,48,11,11,20,25,0,5,0,42,3,11,67,49,21,21,37,8,20,75,0,16,98,67,0,0,40,10,16,0,15,53,55,65,26,69,38,32,0,26,0,1,0,0,0,0,
0,1,0,0,0,0,5,7,3,4,0,1,3,3,41,Matt,Thompson,4,7,4,77,0,0,0,0,0,0,0,40,89,0,0,42,6181,14830,211,14830,0,0,77,0,140,0,40,0,0,61,70,58,3,3,65,2,2,78,3,67,1,43,76,69,0,0,20,76,72,0,70,0,0,0,28,0,0,10,0,5,0,0,33,1,0,0,0,2,2,1,43,56,64,0,79,76,0,0,0,0,0,43,0,10,47,75,73,67,11,11,70,66,0,5,0,59,2,2,47,38,15,23,49,7,5,72,0,12,83,49,0,0,62,15,13,0,67,44,40,42,67,42,50,68,0,66,0,0,0,0,0,0,
0,1,0,0,0,8,10,5,2,10,0,7,10,10,40,William,Douglas,2,8,7,81,0,0,0,0,0,0,0,40,96,0,0,71,2070,16098,229,16098,0,0,88,0,208,0,40,0,1,58,43,68,0,0,80,1,1,86,6,85,1,84,43,40,0,0,17,21,40,0,25,0,0,0,28,0,0,6,0,5,0,0,20,1,0,0,0,1,1,1,41,62,80,0,47,38,0,0,0,0,0,40,0,6,58,73,79,59,0,0,43,25,0,4,0,58,1,17,74,87,0,6,49,30,0,73,0,0,36,75,0,0,56,0,1,0,63,69,73,58,45,53,16,31,0,26,0,0,0,1,0,0,
0,1,0,0,0,10,10,4,2,10,0,6,3,3,40,Matt,West,0,6,10,78,0,0,0,0,0,0,0,40,77,0,0,38,3120,14821,211,14821,0,0,86,2,70,0,48,0,0,79,24,18,3,3,72,1,1,70,3,84,0,64,40,42,0,0,17,43,66,0,17,0,0,0,28,0,0,0,0,5,0,0,14,0,0,0,0,1,1,1,40,70,96,0,92,55,0,0,0,0,0,40,0,0,88,65,72,66,0,0,25,23,0,1,3,71,3,3,27,41,5,10,60,29,26,72,0,10,25,34,0,0,68,10,10,0,77,22,23,40,81,36,83,56,0,22,0,0,0,0,0,0,
0,1,0,0,0,10,10,4,3,10,0,6,10,10,40,Jason,Osborn,0,6,10,85,0,0,0,0,0,0,0,40,86,0,0,36,2132,16096,229,16096,0,0,91,0,50,0,40,0,0,60,37,38,0,0,73,1,1,73,6,85,0,64,40,40,0,0,17,61,63,0,30,0,0,0,28,0,0,0,0,5,0,0,87,0,0,0,0,1,1,1,40,58,91,0,94,46,0,0,0,0,0,40,0,0,87,59,74,55,0,0,36,29,0,6,0,77,1,3,35,49,5,10,61,29,26,70,0,10,27,33,0,0,79,10,10,0,79,33,34,30,47,31,51,75,0,28,0,0,0,2,0,0,
0,0,0,0,0,0,5,7,0,4,0,1,4,4,40,Micah,Cooke,2,7,4,78,0,0,0,0,0,0,0,40,79,0,0,69,4932,16436,234,16436,0,0,84,0,131,0,46,0,1,49,43,77,5,5,53,1,1,59,0,83,1,70,43,50,0,0,5,29,41,0,43,0,0,0,0,0,0,0,0,5,0,0,54,2,0,0,0,1,1,1,40,0,66,0,50,26,0,0,0,0,0,40,0,0,42,72,65,43,6,6,43,50,0,4,3,42,2,14,61,65,15,23,38,7,5,74,0,12,70,73,0,0,50,15,13,0,35,69,53,82,33,72,21,32,0,49,0,1,0,0,0,0,
0,1,0,0,0,6,10,7,3,10,0,6,10,10,77,Richard,Vaughn,1,10,10,75,0,0,0,0,0,0,0,40,88,0,0,62,2119,16089,229,16089,0,0,84,0,161,0,40,0,0,56,43,36,0,0,67,1,1,85,0,76,0,70,42,40,0,0,15,60,66,0,27,0,0,0,28,0,0,1,0,5,0,0,39,0,0,0,0,1,1,1,83,51,66,0,72,58,0,0,0,0,0,40,0,1,59,66,64,53,11,11,43,26,0,4,0,59,2,17,67,79,0,6,51,29,0,74,0,0,43,72,5,0,56,10,10,0,62,65,61,38,53,33,71,70,0,26,0,1,0,2,0,0,
0,1,0,0,0,8,8,8,3,8,0,8,3,3,42,Michael,Mack II,2,8,8,90,0,0,0,0,0,3,3,40,88,0,0,79,4926,101,1,101,0,0,82,2,171,0,52,0,0,60,43,65,3,3,72,1,1,89,11,82,1,66,41,42,0,0,21,53,57,0,40,2,0,0,28,0,0,0,0,5,0,0,5,2,0,0,0,1,1,1,40,70,76,0,49,53,0,0,0,0,0,41,0,0,60,68,71,58,0,0,37,45,0,6,0,53,3,16,65,85,3,3,60,3,3,73,0,3,25,63,3,0,65,3,3,0,47,85,78,65,69,63,60,61,0,43,0,0,0,0,0,0,
0,0,0,0,0,6,10,7,0,10,0,6,4,4,40,Johnny,Malone,0,10,10,85,0,0,0,0,0,0,0,40,83,0,0,35,11550,16431,234,16431,0,0,89,0,163,0,50,0,0,58,19,40,5,5,65,1,1,79,0,85,1,43,40,40,0,0,15,53,47,0,31,0,0,0,0,0,0,10,0,5,0,0,83,2,0,0,0,1,1,1,40,0,76,0,92,47,0,0,0,0,0,40,0,10,72,42,65,54,0,0,19,32,0,6,0,64,1,3,37,44,0,6,56,29,0,75,0,0,30,38,5,0,80,10,10,0,66,33,35,34,65,35,57,63,0,31,0,1,0,0,0,0,
0,1,0,0,0,10,10,0,0,3,0,9,10,10,40,Justin,Berry,2,10,7,75,0,0,0,0,0,0,0,40,90,0,0,55,2192,16088,229,16088,0,0,54,2,179,0,40,0,0,35,69,73,1,1,40,2,2,59,0,80,0,40,68,80,0,0,34,36,40,0,75,0,0,0,28,0,0,0,0,5,0,0,61,0,0,0,0,2,2,1,40,55,57,0,40,40,0,0,0,0,0,40,0,0,36,81,66,60,0,0,70,80,0,6,0,21,5,9,63,39,24,15,20,20,20,79,0,15,153,50,0,0,40,21,14,0,51,59,55,57,48,58,18,36,0,80,0,1,0,0,0,0,
0,1,0,0,0,10,10,4,2,10,0,6,3,3,42,Leonard,Sowell,2,6,10,81,0,0,0,0,0,0,0,40,79,0,0,34,800,14814,211,14814,0,0,76,2,29,0,60,0,0,80,55,24,3,3,84,2,2,68,1,68,0,40,55,66,0,0,33,83,67,0,52,0,0,0,28,0,0,0,0,5,0,0,48,2,0,0,0,1,1,1,42,42,71,0,66,72,0,0,0,0,0,40,0,0,71,72,67,67,11,11,55,65,0,3,3,68,2,4,27,31,5,10,64,29,26,78,0,10,94,53,0,0,62,10,10,0,67,29,29,15,63,19,76,70,0,64,0,1,0,0,0,0,
0,1,0,0,0,10,10,0,1,3,0,9,10,10,40,Jason,Charles,2,10,7,74,0,3,3,0,0,0,0,40,85,0,0,60,111,16079,229,16079,0,0,69,0,167,0,40,0,0,44,25,75,1,1,42,2,2,69,6,80,0,74,65,65,0,0,34,26,40,0,63,0,0,0,28,0,0,0,0,5,0,0,45,1,0,0,0,1,1,1,40,55,67,0,41,22,0,0,0,0,0,40,0,0,37,71,70,43,0,0,25,25,0,2,0,36,3,10,78,49,24,15,38,20,20,74,0,15,80,78,0,0,51,21,14,0,31,54,52,75,31,79,28,19,0,24,0,0,0,0,0,0,
0,1,0,0,0,10,2,6,2,4,0,7,3,3,40,Scott,Novak,2,10,6,84,0,0,0,0,0,0,0,40,85,0,0,96,4117,14813,211,14813,0,0,77,2,45,0,53,0,0,43,40,72,3,3,64,2,2,68,0,87,1,69,40,40,0,0,17,18,40,0,39,0,0,0,28,0,0,9,0,5,0,0,15,1,0,0,0,1,1,1,40,57,74,0,43,25,0,0,0,0,0,40,0,9,50,74,74,64,14,14,40,40,0,6,0,49,1,13,63,71,5,20,43,0,5,74,0,0,56,78,10,0,50,10,5,0,21,66,72,76,29,70,25,30,0,40,0,1,0,0,0,0,
0,1,0,0,0,6,10,7,2,10,0,6,3,3,40,Terrence,Anderson,0,10,10,76,0,0,0,0,0,0,0,40,75,0,0,35,3178,14811,211,14811,0,0,81,2,162,0,45,0,0,68,25,36,3,3,66,1,1,67,0,76,0,40,40,40,0,0,17,60,63,0,20,0,0,0,28,0,0,1,0,5,0,0,16,0,0,0,0,1,1,1,40,50,82,0,86,55,0,0,0,0,0,40,0,1,80,55,64,59,0,0,24,25,0,3,0,73,1,3,37,48,0,6,77,29,0,72,0,0,36,38,5,0,70,10,10,0,78,34,33,30,53,30,62,43,0,25,0,0,0,0,0,0,
0,1,0,0,0,5,10,7,3,10,0,6,0,0,79,Eric,McNeal,0,10,10,79,0,0,0,0,0,0,0,40,67,0,0,35,8846,14807,211,14807,0,0,66,2,42,0,47,0,1,49,39,41,3,3,52,2,2,65,0,80,1,40,40,40,0,1,0,55,64,0,18,0,0,0,28,0,1,0,0,5,0,0,7,1,0,0,0,1,1,1,76,57,66,0,59,51,0,0,0,0,0,40,1,0,52,55,64,51,10,10,38,39,0,4,0,35,1,0,33,38,4,6,40,29,0,76,0,0,58,33,5,0,49,10,10,0,64,24,22,22,60,20,54,63,0,39,0,1,0,1,0,0,
0,1,0,0,0,5,5,5,3,5,0,5,0,0,78,Cannon,Turner,2,5,5,94,0,0,0,0,0,0,0,40,96,0,0,66,592,110,1,110,0,0,82,2,36,0,54,0,0,48,39,62,3,3,60,2,2,99,2,90,0,67,37,39,0,1,17,65,67,0,38,2,0,0,28,0,5,7,0,5,0,0,21,2,0,0,0,1,1,1,80,82,75,0,65,71,0,0,0,0,0,40,5,7,32,61,77,68,0,0,41,41,0,6,0,43,3,0,68,61,7,2,38,2,2,71,0,2,20,61,2,0,57,2,2,0,65,68,75,64,79,62,79,86,0,41,0,1,0,0,0,0,
0,1,0,0,0,6,10,7,1,10,0,6,0,0,50,Bob,Clement,0,10,10,89,0,0,0,0,0,0,0,72,70,0,0,36,2139,16076,229,16076,0,0,64,0,50,0,60,0,0,29,14,37,0,0,55,1,1,62,2,78,0,40,40,40,0,1,0,37,46,0,18,0,0,0,28,0,0,0,0,5,0,0,87,1,0,0,0,1,1,1,50,40,40,0,47,41,0,0,0,0,0,73,0,0,14,43,72,60,11,11,15,15,0,3,0,26,3,20,32,22,0,6,36,29,0,75,0,0,47,34,0,0,40,10,10,0,63,34,30,32,61,31,60,46,0,14,0,1,0,0,0,0,
0,1,0,0,0,8,8,8,3,8,0,8,3,3,50,Jadon,Pearson,2,8,8,90,0,0,0,0,0,0,0,50,85,0,0,85,517,114,1,114,0,0,85,2,161,0,76,0,1,50,46,78,3,3,69,1,1,88,2,85,1,72,50,50,0,0,17,50,50,0,50,0,0,0,28,0,0,7,0,5,15,0,33,1,0,0,0,1,1,1,50,75,79,0,50,50,0,0,0,0,0,50,0,7,50,68,78,58,10,10,40,42,0,3,0,50,2,17,73,72,1,2,50,2,2,75,0,2,20,70,2,0,50,2,2,0,50,87,74,65,50,60,50,50,0,43,0,0,0,0,0,0,
0,1,0,0,0,5,10,7,2,10,0,6,0,0,66,Walter,Huff,0,10,10,77,0,0,0,0,0,0,0,40,87,0,0,36,4440,14802,211,14802,0,0,80,2,10,0,46,0,0,53,40,41,3,3,55,2,2,81,0,86,0,40,40,40,0,1,17,58,72,0,21,0,0,0,28,0,0,7,0,5,0,0,1,2,0,0,0,2,2,1,77,55,68,0,56,47,0,0,0,0,0,40,0,7,56,52,65,65,1,1,39,38,0,2,0,49,1,0,36,34,4,6,48,29,0,76,0,0,32,30,5,0,53,10,10,0,63,18,14,23,71,24,65,72,0,39,0,1,0,0,0,0,
0,1,0,0,0,4,2,8,0,0,0,3,10,10,40,Chad,Bell,1,3,2,71,0,0,0,0,0,0,0,40,73,0,0,67,2073,16075,229,16075,0,0,71,2,186,0,46,0,0,47,25,71,0,0,48,2,2,65,0,81,0,70,63,64,0,0,17,23,40,0,68,0,0,0,28,0,0,0,0,5,0,0,75,1,0,0,0,1,1,1,40,52,74,0,42,33,0,0,0,0,0,40,0,0,44,73,66,45,11,11,25,26,0,1,0,40,1,11,72,42,21,21,40,8,20,77,0,16,103,75,0,0,42,10,16,0,29,53,54,68,31,78,22,25,0,26,0,0,0,0,0,0,
0,1,0,0,0,4,2,8,0,0,0,3,10,10,40,Adam,Landry,1,3,2,76,0,0,0,0,0,0,0,40,84,0,0,73,21,16073,229,16073,0,0,71,2,206,0,40,0,0,47,17,70,0,0,57,2,2,67,0,85,1,65,65,67,0,0,34,24,40,0,68,0,0,0,28,0,0,4,0,5,0,0,76,0,0,0,0,2,2,1,40,48,73,0,45,25,0,0,0,0,0,40,0,4,49,76,69,50,0,0,17,20,0,4,0,40,3,11,71,50,21,21,42,8,20,77,0,16,92,74,0,0,64,10,16,0,33,57,56,79,23,80,21,25,0,20,0,0,0,0,0,0,
0,1,0,0,0,5,7,7,3,1,0,7,3,3,31,Blake,Burris,2,7,7,70,0,0,0,0,0,0,0,35,83,0,0,83,10874,118,1,118,0,0,67,2,115,0,38,0,0,52,70,73,3,3,54,2,2,82,11,89,1,80,48,48,0,0,20,52,58,0,50,2,0,0,28,0,0,0,0,5,0,0,87,1,0,0,0,1,1,1,39,79,62,0,42,53,0,0,0,0,0,29,0,0,42,86,80,61,11,11,65,75,0,6,0,46,1,10,69,66,16,12,51,12,12,76,0,12,102,80,12,0,50,12,12,0,50,56,64,74,51,77,55,55,0,70,0,0,0,0,0,0,
0,1,0,0,0,8,10,5,2,10,0,7,3,3,40,Cole,Johnson,0,8,7,79,0,0,0,0,0,0,0,40,90,0,0,18,11544,14787,211,14787,0,0,86,2,199,0,67,0,1,60,42,35,3,3,66,2,2,87,0,76,1,63,41,44,0,0,15,83,55,0,38,0,0,0,28,0,0,0,0,5,0,0,29,1,0,0,0,1,1,1,40,45,75,0,66,82,0,0,0,0,0,40,0,0,53,58,66,50,11,11,41,43,0,5,0,72,1,1,38,40,0,6,54,30,0,75,0,0,23,47,0,0,54,0,1,0,70,28,31,32,90,30,94,91,0,44,0,0,0,0,0,0,
0,0,0,0,0,6,10,7,2,10,0,6,3,3,40,Clint,Fenner,1,10,10,81,0,0,0,0,0,0,0,40,71,0,0,36,4426,789,11,789,0,0,81,0,46,0,60,0,0,63,20,38,3,3,66,1,1,68,0,77,1,48,40,40,0,0,5,50,66,0,37,0,0,0,0,0,0,0,0,5,0,0,87,0,0,0,0,1,1,1,40,0,75,0,86,46,0,0,0,0,0,40,0,0,65,52,58,55,0,0,20,30,0,3,0,53,1,3,40,45,0,6,56,29,0,74,0,0,31,37,5,0,70,10,10,0,74,35,33,34,51,33,45,55,0,30,0,1,0,2,0,0,
